emp_no,birth_date,first_name,last_name,dept_no,to_date
10001,1953-09-02,Georgi,Facello,d005,9999-01-01
10004,1954-05-01,Chirstian,Koblick,d004,9999-01-01
10005,1955-01-21,Kyoichi,Maliniak,d003,9999-01-01
10006,1953-04-20,Anneke,Preusig,d005,9999-01-01
10009,1952-04-19,Sumant,Peac,d006,9999-01-01
10018,1954-06-19,Kazuhide,Peha,d004,9999-01-01
10019,1953-01-23,Lillian,Haddadi,d008,9999-01-01
10020,1952-12-24,Mayuko,Warwick,d004,9999-01-01
10022,1952-07-08,Shahaf,Famili,d005,9999-01-01
10023,1953-09-29,Bojan,Montemayor,d005,9999-01-01
10026,1953-04-03,Yongqiao,Berztiss,d004,9999-01-01
10035,1953-02-08,Alain,Chappelet,d004,9999-01-01
10047,1952-06-29,Zvonko,Nyanchama,d004,9999-01-01
10051,1953-07-28,Hidefumi,Caine,d004,9999-01-01
10053,1954-09-13,Sanjiv,Zschoche,d007,9999-01-01
10057,1954-05-30,Ebbe,Callaway,d005,9999-01-01
10058,1954-10-01,Berhard,McFarlin,d001,9999-01-01
10059,1953-09-19,Alejandro,McAlpine,d002,9999-01-01
10063,1952-08-06,Gino,Leonhardt,d004,9999-01-01
10066,1952-11-13,Kwee,Schusler,d005,9999-01-01
10067,1953-01-07,Claudi,Stavenow,d006,9999-01-01
10070,1955-08-20,Reuven,Garigliano,d008,9999-01-01
10072,1952-05-15,Hironoby,Sidou,d005,9999-01-01
10074,1955-08-28,Mokhtar,Bernatsky,d005,9999-01-01
10076,1952-06-13,Erez,Ritzmann,d005,9999-01-01
10088,1954-02-25,Jungsoon,Syrzycki,d009,9999-01-01
10091,1955-10-04,Amabile,Gomatam,d005,9999-01-01
10096,1954-09-16,Jayson,Mandell,d004,9999-01-01
10097,1952-02-27,Remzi,Waschkowski,d008,9999-01-01
10100,1953-04-21,Hironobu,Haraldson,d003,9999-01-01
10103,1953-11-26,Akemi,Birch,d005,9999-01-01
10106,1952-08-29,Eben,Aingworth,d004,9999-01-01
10126,1954-08-07,Kayoko,Valtorta,d009,9999-01-01
10127,1952-02-24,Subir,Baja,d005,9999-01-01
10129,1955-12-02,Armond,Peir,d005,9999-01-01
10130,1955-04-27,Nishit,Casperson,d004,9999-01-01
10134,1953-04-15,Diederik,Siprelle,d004,9999-01-01
10138,1955-04-24,Perry,Shimshoni,d006,9999-01-01
10150,1955-01-29,Zhenbing,Perng,d005,9999-01-01
10153,1955-12-15,Heekeun,Majewski,d005,9999-01-01
10157,1954-04-23,Nigel,Aloisi,d005,9999-01-01
10159,1955-03-03,Serif,Buescher,d006,9999-01-01
10160,1953-10-18,Debatosh,Khasidashvili,d007,9999-01-01
10163,1952-09-17,Karsten,Szmurlo,d003,9999-01-01
10166,1953-05-10,Samphel,Siegrist,d005,9999-01-01
10183,1954-10-17,Mechthild,Bonifati,d009,9999-01-01
10194,1954-01-29,Josyula,Hofmeyr,d002,9999-01-01
10196,1954-01-27,Marc,Hellwagner,d002,9999-01-01
10198,1953-05-28,Pranav,Furedi,d005,9999-01-01
10203,1955-07-27,Steen,Escriba,d008,9999-01-01
10205,1953-05-20,Mabhin,Leijenhorst,d004,9999-01-01
10207,1955-05-28,Girolamo,Anandan,d005,9999-01-01
10215,1954-04-02,Xiaobin,Duclos,d007,9999-01-01
10219,1952-05-02,Genta,Kolvik,d005,9999-01-01
10224,1954-05-17,Leon,Trogemann,d004,9999-01-01
10228,1953-04-21,Karoline,Cesareni,d001,9999-01-01
10230,1955-09-11,Clyde,Vernadat,d008,9999-01-01
10233,1954-04-01,Lein,Vendrig,d003,9999-01-01
10239,1955-03-31,Nikolaos,Llado,d001,9999-01-01
10240,1952-04-01,Remko,Maccarone,d006,9999-01-01
10248,1955-09-24,Frederique,Tempesti,d007,9999-01-01
10249,1954-06-10,Marie,Boreale,d008,9999-01-01
10258,1955-12-12,Basil,Ishibashi,d005,9999-01-01
10262,1955-08-04,Mahendra,Maraist,d007,9999-01-01
10272,1954-11-30,Yishai,Cannane,d002,9999-01-01
10281,1953-05-13,Moty,Kusakari,d006,9999-01-01
10282,1953-11-27,Hercules,Benzmuller,d004,9999-01-01
10283,1953-07-08,Kauko,Birjandi,d005,9999-01-01
10284,1954-04-08,Masali,Murrill,d004,9999-01-01
10295,1953-01-13,Kristine,Velardi,d002,9999-01-01
10298,1954-07-06,Dietrich,DuCasse,d004,9999-01-01
10306,1953-06-02,Heng,Kilgour,d007,9999-01-01
10307,1955-07-20,Nikolaos,Leaver,d006,9999-01-01
10322,1954-05-28,Isamu,Dahlbom,d005,9999-01-01
10325,1953-01-12,Arunachalam,Badr,d003,9999-01-01
10326,1953-02-13,Masali,Czap,d008,9999-01-01
10328,1955-06-28,Serenella,Kawashima,d005,9999-01-01
10333,1953-04-27,Snehasis,Dymetman,d005,9999-01-01
10340,1952-08-20,Djelloul,Laventhal,d001,9999-01-01
10343,1954-11-01,Dinah,Syrzycki,d006,9999-01-01
10347,1953-10-03,Pradeep,Kaminger,d008,9999-01-01
10349,1954-04-29,Oksana,Brodie,d009,9999-01-01
10353,1953-01-15,Phule,Hammerschmidt,d001,9999-01-01
10355,1952-12-10,Satyanarayana,Cochrane,d007,9999-01-01
10356,1952-08-12,Vasilis,Standera,d008,9999-01-01
10358,1953-04-08,Qunsheng,Tagansky,d005,9999-01-01
10364,1954-09-21,Nakhoon,Dengi,d004,9999-01-01
10367,1955-12-24,Hyuckchul,Gini,d001,9999-01-01
